Transaction Name,Transaction Name URL,Organization Location,Organization Industries,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Pre Seed Round - G2Q Computing,https://www.crunchbase.com/funding_round/g2q-computing-pre-seed--75c88f63,"Milan, Lombardia, Italy, Europe","Information Technology, Software",G2Q Computing,https://www.crunchbase.com/organization/g2q-computing,Pre-Seed,120000,USD,120000,2024-02-19
Pre Seed Round - Voovo,https://www.crunchbase.com/funding_round/voovo-0aa4-pre-seed--dcba8cf4,"Dublin, Dublin, Ireland, Europe","Apps, EdTech, Mobile Apps",Voovo,https://www.crunchbase.com/organization/voovo-0aa4,Pre-Seed,120000,USD,120000,2024-02-19
Seed Round - dub,https://www.crunchbase.com/funding_round/dub-9562-seed--438b9c12,"New York, New York, United States, North America","Financial Services, Mobile Apps, Trading Platform",dub,https://www.crunchbase.com/organization/dub-9562,Seed,15000000,USD,15000000,2024-02-22
Pre Seed Round - Bench IQ,https://www.crunchbase.com/funding_round/bench-iq-pre-seed--8b88fecf,"Toronto, Ontario, Canada, North America","Artificial Intelligence (AI), Internet, Software",Bench IQ,https://www.crunchbase.com/organization/bench-iq,Pre-Seed,2800000,CAD,2063597,2024-02-29
Seed Round - Inco,https://www.crunchbase.com/funding_round/inco-5e14-seed--39f51e00,"Manhattan, New York, United States, North America","Apps, Gaming, Mobile Apps",Inco,https://www.crunchbase.com/organization/inco-5e14,Seed,4500000,USD,4500000,2024-02-21
Seed Round - Superform Labs,https://www.crunchbase.com/funding_round/superform-labs-seed--f45fe564,"Miami, Florida, United States, North America","Blockchain, Cryptocurrency, Service Industry",Superform Labs,https://www.crunchbase.com/organization/superform-labs,Seed,6500000,USD,6500000,2024-02-08
Pre Seed Round - Collecto App,https://www.crunchbase.com/funding_round/collecto-app-pre-seed--d6876d4c,"Milano, Lombardia, Italy, Europe","Apps, Sustainability",Collecto App,https://www.crunchbase.com/organization/collecto-app,Pre-Seed,750000,EUR,805590,2024-02-05
Seed Round - Nibiru Chain,https://www.crunchbase.com/funding_round/nibiru-seed--cb946e65,"Grand Cayman, Midland, Cayman Islands, North America","Blockchain, Cryptocurrency, Financial Exchanges, Information Technology, Software",Nibiru Chain,https://www.crunchbase.com/organization/nibiru,Seed,12000000,USD,12000000,2024-02-01
Seed Round - Bioptimus,https://www.crunchbase.com/funding_round/bioptimus-seed--17761233,"Paris, Ile-de-France, France, Europe","Artificial Intelligence (AI), Biotechnology, Generative AI",Bioptimus,https://www.crunchbase.com/organization/bioptimus,Seed,35000000,USD,35000000,2024-02-20
Seed Round - Shuffle,https://www.crunchbase.com/funding_round/shuffle-7f37-seed--b79f10cf,"Willemstad, Noord-Brabant, The Netherlands, Europe","Cryptocurrency, Information Technology, Web3",Shuffle,https://www.crunchbase.com/organization/shuffle-7f37,Seed,2500000,USD,2500000,2024-02-25
